,game_str,play_id,at_bat,play_per_game,timestamp,player_position,event_code,home_team,away_team,year,day,game_str_1,home_team_1,away_team_1,at_bat_1,play_per_game_1,top_bottom_inning,pitcher,catcher,first_base,second_base,third_base,shortstop,left_field,center_field,right_field,batter,first_baserunner,second_baserunner,third_baserunner,year_1,day_1,game_str_2,play_id_1,timestamp_1,runner,field_x,field_y
10,y1_d073_PHS_RZQ,217,\N,217,7637797,1,6,RZQ,PHS,year_1,day_073,y1_d073_PHS_RZQ,RZQ,PHS,,217.0,bottom,PHS-2508,PHS-1377,PHS-2454,PHS-1776,PHS-1210,PHS-2539,PHS-1548,PHS-1784,PHS-1359,RZQ-0347,RZQ-0401,NA,NA,year_1,day_073,y1_d073_PHS_RZQ,217,7637797,11,58.5399,69.45
11,y1_d073_UWE_YJD,43,15,43,1419682,1,6,YJD,UWE,year_1,day_073,y1_d073_UWE_YJD,YJD,UWE,15.0,43.0,top,YJD-0420,YJD-0020,YJD-0373,YJD-0025,YJD-0172,YJD-0060,YJD-0340,YJD-0193,YJD-0210,UWE-1486,UWE-1943,NA,NA,year_1,day_073,y1_d073_UWE_YJD,43,1419682,11,53.6853,72.5097
12,y1_d073_UWE_YJD,125,35,125,3878782,1,6,YJD,UWE,year_1,day_073,y1_d073_UWE_YJD,YJD,UWE,35.0,125.0,top,YJD-0420,YJD-0020,YJD-0373,YJD-0025,YJD-0172,YJD-0060,YJD-0340,YJD-0193,YJD-0210,UWE-1876,UWE-1486,NA,NA,year_1,day_073,y1_d073_UWE_YJD,125,3878782,11,55.9449,69.8409
13,y1_d073_UWE_YJD,157,46,157,4954982,1,6,YJD,UWE,year_1,day_073,y1_d073_UWE_YJD,YJD,UWE,46.0,157.0,top,YJD-0420,YJD-0020,YJD-0373,YJD-0025,YJD-0172,YJD-0060,YJD-0340,YJD-0193,YJD-0210,UWE-1368,UWE-1104,NA,NA,year_1,day_073,y1_d073_UWE_YJD,157,4954982,11,55.0458,73.9941
14,y1_d074_PHS_RZQ,45,\N,45,1399613,1,6,RZQ,PHS,year_1,day_074,y1_d074_PHS_RZQ,RZQ,PHS,,45.0,bottom,PHS-1086,PHS-1716,PHS-2454,PHS-2530,PHS-1210,PHS-2539,PHS-1928,PHS-1548,PHS-1359,RZQ-0014,RZQ-0239,NA,NA,year_1,day_074,y1_d074_PHS_RZQ,45,1399613,11,60.3015,67.7985
15,y1_d074_PHS_RZQ,76,\N,76,2386213,1,6,RZQ,PHS,year_1,day_074,y1_d074_PHS_RZQ,RZQ,PHS,,76.0,bottom,PHS-1086,PHS-1716,PHS-2454,PHS-2530,PHS-1210,PHS-2539,PHS-1928,PHS-1548,PHS-1359,RZQ-0347,RZQ-0258,NA,NA,year_1,day_074,y1_d074_PHS_RZQ,76,2386213,11,54.4506,72.6243
16,y1_d074_PHS_RZQ,77,\N,77,2399663,1,6,RZQ,PHS,year_1,day_074,y1_d074_PHS_RZQ,RZQ,PHS,,77.0,bottom,PHS-1086,PHS-1716,PHS-2454,PHS-2530,PHS-1210,PHS-2539,PHS-1928,PHS-1548,PHS-1359,RZQ-0347,RZQ-0258,NA,NA,year_1,day_074,y1_d074_PHS_RZQ,77,2399663,11,54.7059,72.3267
17,y1_d074_PHS_RZQ,79,\N,79,2441813,1,6,RZQ,PHS,year_1,day_074,y1_d074_PHS_RZQ,RZQ,PHS,,79.0,bottom,PHS-1086,PHS-1716,PHS-2454,PHS-2530,PHS-1210,PHS-2539,PHS-1928,PHS-1548,PHS-1359,RZQ-0347,RZQ-0258,NA,NA,year_1,day_074,y1_d074_PHS_RZQ,79,2441813,11,54.8373,71.8119
18,y1_d074_PHS_RZQ,171,\N,171,5689863,1,6,RZQ,PHS,year_1,day_074,y1_d074_PHS_RZQ,RZQ,PHS,,171.0,bottom,PHS-1115,PHS-1716,PHS-2454,PHS-2530,PHS-1210,PHS-2539,PHS-1928,PHS-1548,PHS-1359,RZQ-0214,RZQ-0014,NA,NA,year_1,day_074,y1_d074_PHS_RZQ,171,5689863,11,55.6038,74.0055
19,y1_d074_UWE_YJD,14,\N,14,423076,1,6,YJD,UWE,year_1,day_074,y1_d074_UWE_YJD,YJD,UWE,,14.0,bottom,UWE-1411,UWE-2047,UWE-2402,UWE-1368,UWE-2184,UWE-1104,UWE-1876,UWE-1943,UWE-2003,YJD-0106,YJD-0210,NA,NA,year_1,day_074,y1_d074_UWE_YJD,14,423076,11,55.6656,71.5746
20,y1_d074_UWE_YJD,209,\N,209,6698026,1,6,YJD,UWE,year_1,day_074,y1_d074_UWE_YJD,YJD,UWE,,209.0,top,YJD-0147,YJD-0020,YJD-0359,YJD-0025,YJD-0284,YJD-0172,YJD-0340,YJD-0106,YJD-0210,UWE-1943,NA,NA,NA,year_1,day_074,y1_d074_UWE_YJD,209,6698026,11,54.9798,75.1158
21,y1_d074_UWE_YJD,252,\N,252,8193176,1,6,YJD,UWE,year_1,day_074,y1_d074_UWE_YJD,YJD,UWE,,252.0,top,YJD-0157,YJD-0020,YJD-0359,YJD-0025,YJD-0284,YJD-0172,YJD-0340,YJD-0106,YJD-0210,UWE-1571,UWE-2402,NA,NA,year_1,day_074,y1_d074_UWE_YJD,252,8193176,11,56.2611,73.5738
22,y1_d075_PHS_RZQ,24,\N,24,787562,1,6,RZQ,PHS,year_1,day_075,y1_d075_PHS_RZQ,RZQ,PHS,,24.0,bottom,PHS-2343,PHS-1377,PHS-2454,PHS-2530,PHS-1210,PHS-1776,PHS-1013,PHS-1784,PHS-1359,RZQ-0333,RZQ-0355,NA,NA,year_1,day_075,y1_d075_PHS_RZQ,24,787562,11,56.3655,72.8352
23,y1_d075_PHS_RZQ,50,\N,50,1603062,1,6,RZQ,PHS,year_1,day_075,y1_d075_PHS_RZQ,RZQ,PHS,,50.0,bottom,PHS-2343,PHS-1377,PHS-2454,PHS-2530,PHS-1210,PHS-1776,PHS-1013,PHS-1784,PHS-1359,RZQ-0014,RZQ-0214,NA,NA,year_1,day_075,y1_d075_PHS_RZQ,50,1603062,11,56.4012,69.4638
24,y1_d075_PHS_RZQ,98,\N,98,2937262,1,6,RZQ,PHS,year_1,day_075,y1_d075_PHS_RZQ,RZQ,PHS,,98.0,top,RZQ-0339,RZQ-0183,RZQ-0333,RZQ-0347,RZQ-0214,RZQ-0355,RZQ-0014,RZQ-0274,RZQ-0401,PHS-1928,PHS-1784,NA,NA,year_1,day_075,y1_d075_PHS_RZQ,98,2937262,11,56.535,72.6009
25,y1_d075_PHS_RZQ,172,\N,172,5404712,1,6,RZQ,PHS,year_1,day_075,y1_d075_PHS_RZQ,RZQ,PHS,,172.0,bottom,PHS-2343,PHS-1377,PHS-2454,PHS-2530,PHS-1210,PHS-1776,PHS-1013,PHS-1784,PHS-1359,RZQ-0214,RZQ-0274,NA,NA,year_1,day_075,y1_d075_PHS_RZQ,172,5404712,11,56.4369,70.6419
26,y1_d075_UWE_YJD,68,\N,68,2170330,1,6,YJD,UWE,year_1,day_075,y1_d075_UWE_YJD,YJD,UWE,,68.0,top,YJD-0191,YJD-0020,YJD-0166,YJD-0060,YJD-0025,YJD-0172,YJD-0210,YJD-0193,YJD-0340,UWE-2003,UWE-1486,NA,NA,year_1,day_075,y1_d075_UWE_YJD,68,2170330,11,54.8124,72.1071
27,y1_d075_UWE_YJD,69,\N,69,2190480,1,6,YJD,UWE,year_1,day_075,y1_d075_UWE_YJD,YJD,UWE,,69.0,top,YJD-0191,YJD-0020,YJD-0166,YJD-0060,YJD-0025,YJD-0172,YJD-0210,YJD-0193,YJD-0340,UWE-2003,UWE-1486,NA,NA,year_1,day_075,y1_d075_UWE_YJD,69,2190480,11,55.4484,71.5164
28,y1_d075_UWE_YJD,166,47,166,5452580,1,6,YJD,UWE,year_1,day_075,y1_d075_UWE_YJD,YJD,UWE,47.0,166.0,top,YJD-0293,YJD-0020,YJD-0166,YJD-0060,YJD-0025,YJD-0172,YJD-0210,YJD-0193,YJD-0340,UWE-1486,UWE-1943,NA,NA,year_1,day_075,y1_d075_UWE_YJD,166,5452580,11,54.1617,73.7664
29,y1_d075_UWE_YJD,203,54,203,6836280,1,6,YJD,UWE,year_1,day_075,y1_d075_UWE_YJD,YJD,UWE,54.0,203.0,top,YJD-0189,YJD-0020,YJD-0166,YJD-0060,YJD-0025,YJD-0172,YJD-0210,YJD-0193,YJD-0340,UWE-2003,UWE-1368,NA,NA,year_1,day_075,y1_d075_UWE_YJD,203,6836280,11,55.4067,69.7005
30,y1_d075_UWE_YJD,207,54,207,6924330,1,6,YJD,UWE,year_1,day_075,y1_d075_UWE_YJD,YJD,UWE,54.0,207.0,top,YJD-0189,YJD-0020,YJD-0166,YJD-0060,YJD-0025,YJD-0172,YJD-0210,YJD-0193,YJD-0340,UWE-2003,UWE-1368,NA,NA,year_1,day_075,y1_d075_UWE_YJD,207,6924330,11,54.9495,72.4794
31,y1_d075_UWE_YJD,209,\N,209,6960280,1,6,YJD,UWE,year_1,day_075,y1_d075_UWE_YJD,YJD,UWE,,209.0,top,YJD-0189,YJD-0020,YJD-0166,YJD-0060,YJD-0025,YJD-0172,YJD-0210,YJD-0193,YJD-0340,UWE-2003,UWE-1368,NA,NA,year_1,day_075,y1_d075_UWE_YJD,209,6960280,11,54.9114,70.6491
32,y1_d075_UWE_YJD,269,66,269,9182930,1,6,YJD,UWE,year_1,day_075,y1_d075_UWE_YJD,YJD,UWE,66.0,269.0,top,YJD-0251,YJD-0020,YJD-0166,YJD-0060,YJD-0025,YJD-0172,YJD-0210,YJD-0193,YJD-0340,UWE-1486,UWE-1943,NA,NA,year_1,day_075,y1_d075_UWE_YJD,269,9182930,11,53.3142,74.6664
33,y1_d076_GAX_YJD,22,\N,22,669988,1,6,YJD,GAX,year_1,day_076,y1_d076_GAX_YJD,YJD,GAX,,22.0,bottom,GAX-1819,GAX-2386,GAX-2093,GAX-1345,GAX-1564,GAX-2018,GAX-1732,GAX-2281,GAX-2306,YJD-0106,YJD-0210,NA,NA,year_1,day_076,y1_d076_GAX_YJD,22,669988,11,55.7739,71.6079
34,y1_d077_GAX_YJD,64,\N,64,2092764,1,6,YJD,GAX,year_1,day_077,y1_d077_GAX_YJD,YJD,GAX,,64.0,top,YJD-0194,YJD-0007,YJD-0166,YJD-0025,YJD-0284,YJD-0060,YJD-0185,YJD-0210,YJD-0340,GAX-2093,GAX-2281,NA,NA,year_1,day_077,y1_d077_GAX_YJD,64,2092764,11,56.0424,72.7806
35,y1_d077_GAX_YJD,191,\N,191,6435164,1,6,YJD,GAX,year_1,day_077,y1_d077_GAX_YJD,YJD,GAX,,191.0,bottom,GAX-1980,GAX-1648,GAX-2093,GAX-1345,GAX-1283,GAX-1564,GAX-1096,GAX-2281,GAX-2306,YJD-0210,YJD-0060,NA,NA,year_1,day_077,y1_d077_GAX_YJD,191,6435164,11,55.7775,70.8813
36,y1_d078_GAX_YJD,31,\N,31,957018,1,6,YJD,GAX,year_1,day_078,y1_d078_GAX_YJD,YJD,GAX,,31.0,bottom,GAX-2004,GAX-2386,GAX-1732,GAX-2264,GAX-1283,GAX-2018,GAX-1096,GAX-2281,GAX-2306,YJD-0284,YJD-0106,NA,NA,year_1,day_078,y1_d078_GAX_YJD,31,957018,11,54.1722,73.0191
37,y1_d079_FBP_QEA,191,50,191,6119096,1,6,QEA,FBP,year_1,day_079,y1_d079_FBP_QEA,QEA,FBP,50.0,191.0,bottom,FBP-1597,FBP-1225,FBP-1154,FBP-1580,FBP-1529,FBP-2578,FBP-2170,FBP-2143,FBP-1349,QEA-0218,NA,NA,NA,year_1,day_079,y1_d079_FBP_QEA,191,6116096,11,55.7616,72.558
38,y1_d079_FBP_QEA,196,51,196,6245946,1,6,QEA,FBP,year_1,day_079,y1_d079_FBP_QEA,QEA,FBP,51.0,196.0,top,QEA-0212,QEA-0218,QEA-0263,QEA-0365,QEA-0277,QEA-0027,QEA-0421,QEA-0424,QEA-0249,FBP-2143,NA,NA,NA,year_1,day_079,y1_d079_FBP_QEA,196,6242946,11,59.0778,71.2374
39,y1_d079_PVJ_RZQ,30,\N,30,798666,1,6,RZQ,PVJ,year_1,day_079,y1_d079_PVJ_RZQ,RZQ,PVJ,,30.0,bottom,PVJ-2041,PVJ-1833,PVJ-1136,PVJ-1588,PVJ-2075,PVJ-1591,PVJ-2157,PVJ-2316,PVJ-1851,RZQ-0333,RZQ-0355,NA,NA,year_1,day_079,y1_d079_PVJ_RZQ,30,798666,11,57.4851,71.6094
40,y1_d079_PVJ_RZQ,166,\N,166,8929466,1,6,RZQ,PVJ,year_1,day_079,y1_d079_PVJ_RZQ,RZQ,PVJ,,166.0,top,RZQ-0324,RZQ-0169,RZQ-0214,RZQ-0258,RZQ-0347,RZQ-0355,RZQ-0333,RZQ-0274,RZQ-0233,PVJ-2075,PVJ-2349,NA,NA,year_1,day_079,y1_d079_PVJ_RZQ,166,8929466,11,56.1057,71.6412
41,y1_d080_FBP_QEA,8,\N,8,150012,1,6,QEA,FBP,year_1,day_080,y1_d080_FBP_QEA,QEA,FBP,,8.0,top,QEA-0175,QEA-0120,QEA-0263,QEA-0365,QEA-0277,QEA-0288,QEA-0364,QEA-0421,QEA-0424,FBP-1154,FBP-2143,NA,NA,year_1,day_080,y1_d080_FBP_QEA,8,147012,11,55.5828,72.189
42,y1_d080_FBP_QEA,88,20,88,2433162,1,6,QEA,FBP,year_1,day_080,y1_d080_FBP_QEA,QEA,FBP,20.0,88.0,bottom,FBP-1417,FBP-1225,FBP-1529,FBP-1154,FBP-1580,FBP-1347,FBP-2170,FBP-2143,FBP-1349,QEA-0288,QEA-0424,NA,NA,year_1,day_080,y1_d080_FBP_QEA,88,2430162,11,54.5571,71.1894
43,y1_d080_FBP_QEA,284,75,284,9172462,1,6,QEA,FBP,year_1,day_080,y1_d080_FBP_QEA,QEA,FBP,75.0,284.0,top,QEA-0053,QEA-0120,QEA-0263,QEA-0365,QEA-0277,QEA-0288,QEA-0364,QEA-0421,QEA-0424,FBP-1349,NA,NA,NA,year_1,day_080,y1_d080_FBP_QEA,284,9169462,11,56.5752,73.4478
44,y1_d080_PVJ_RZQ,179,\N,179,5493960,1,6,RZQ,PVJ,year_1,day_080,y1_d080_PVJ_RZQ,RZQ,PVJ,,179.0,bottom,PVJ-2365,PVJ-1432,PVJ-1136,PVJ-1049,PVJ-2075,PVJ-1588,PVJ-2157,PVJ-2316,PVJ-1659,RZQ-0274,RZQ-0333,NA,NA,year_1,day_080,y1_d080_PVJ_RZQ,179,5493960,11,56.3571,70.3347
45,y1_d080_PVJ_RZQ,241,\N,241,7848310,1,6,RZQ,PVJ,year_1,day_080,y1_d080_PVJ_RZQ,RZQ,PVJ,,241.0,top,RZQ-0126,RZQ-0183,RZQ-0214,RZQ-0258,RZQ-0347,RZQ-0355,RZQ-0014,RZQ-0274,RZQ-0233,PVJ-2157,PVJ-2316,NA,NA,year_1,day_080,y1_d080_PVJ_RZQ,241,7848310,11,56.2818,73.926
46,y1_d080_PVJ_RZQ,283,\N,283,9301660,1,6,RZQ,PVJ,year_1,day_080,y1_d080_PVJ_RZQ,RZQ,PVJ,,283.0,bottom,PVJ-1509,PVJ-1432,PVJ-1136,PVJ-1049,PVJ-2075,PVJ-1588,PVJ-2157,PVJ-2316,PVJ-1659,RZQ-0183,RZQ-0014,NA,NA,year_1,day_080,y1_d080_PVJ_RZQ,283,9301660,11,56.9346,72.1644
47,y1_d080_PVJ_RZQ,286,\N,286,9389560,1,6,RZQ,PVJ,year_1,day_080,y1_d080_PVJ_RZQ,RZQ,PVJ,,286.0,bottom,PVJ-1509,PVJ-1432,PVJ-1136,PVJ-1049,PVJ-2075,PVJ-1588,PVJ-2157,PVJ-2316,PVJ-1659,RZQ-0183,RZQ-0014,NA,NA,year_1,day_080,y1_d080_PVJ_RZQ,286,9389560,11,56.3985,71.4576
48,y1_d081_PVJ_RZQ,26,\N,26,923506,1,6,RZQ,PVJ,year_1,day_081,y1_d081_PVJ_RZQ,RZQ,PVJ,,26.0,bottom,PVJ-2019,PVJ-1833,PVJ-1693,PVJ-1588,PVJ-2349,PVJ-1591,PVJ-1851,PVJ-2316,PVJ-1659,RZQ-0214,RZQ-0274,NA,NA,year_1,day_081,y1_d081_PVJ_RZQ,26,923506,11,53.2941,73.8093
49,y1_d081_PVJ_RZQ,27,\N,27,943506,1,6,RZQ,PVJ,year_1,day_081,y1_d081_PVJ_RZQ,RZQ,PVJ,,27.0,bottom,PVJ-2019,PVJ-1833,PVJ-1693,PVJ-1588,PVJ-2349,PVJ-1591,PVJ-1851,PVJ-2316,PVJ-1659,RZQ-0214,RZQ-0274,NA,NA,year_1,day_081,y1_d081_PVJ_RZQ,27,943506,11,52.7466,73.3119
50,y1_d081_PVJ_RZQ,30,\N,30,1025356,1,6,RZQ,PVJ,year_1,day_081,y1_d081_PVJ_RZQ,RZQ,PVJ,,30.0,bottom,PVJ-2019,PVJ-1833,PVJ-1693,PVJ-1588,PVJ-2349,PVJ-1591,PVJ-1851,PVJ-2316,PVJ-1659,RZQ-0214,RZQ-0274,NA,NA,year_1,day_081,y1_d081_PVJ_RZQ,30,1025356,11,54.0642,72.3417
51,y1_d081_PVJ_RZQ,88,\N,88,3133906,1,6,RZQ,PVJ,year_1,day_081,y1_d081_PVJ_RZQ,RZQ,PVJ,,88.0,bottom,PVJ-2019,PVJ-1833,PVJ-1693,PVJ-1588,PVJ-2349,PVJ-1591,PVJ-1851,PVJ-2316,PVJ-1659,RZQ-0169,RZQ-0347,NA,NA,year_1,day_081,y1_d081_PVJ_RZQ,88,3133906,11,54.6759,71.7156
52,y1_d081_PVJ_RZQ,155,\N,155,5706556,1,6,RZQ,PVJ,year_1,day_081,y1_d081_PVJ_RZQ,RZQ,PVJ,,155.0,bottom,PVJ-2019,PVJ-1833,PVJ-1693,PVJ-1588,PVJ-2349,PVJ-1591,PVJ-1851,PVJ-2316,PVJ-1659,RZQ-0214,RZQ-0274,NA,NA,year_1,day_081,y1_d081_PVJ_RZQ,155,5706556,11,52.8654,71.6514
53,y1_d081_PVJ_RZQ,212,\N,212,7843756,1,6,RZQ,PVJ,year_1,day_081,y1_d081_PVJ_RZQ,RZQ,PVJ,,212.0,top,RZQ-0325,RZQ-0183,RZQ-0333,RZQ-0347,RZQ-0233,RZQ-0258,RZQ-0014,RZQ-0274,RZQ-0214,PVJ-1591,PVJ-1851,NA,NA,year_1,day_081,y1_d081_PVJ_RZQ,212,7843756,11,56.0655,72.4575
54,y1_d081_PVJ_RZQ,299,\N,299,11003956,1,6,RZQ,PVJ,year_1,day_081,y1_d081_PVJ_RZQ,RZQ,PVJ,,299.0,top,RZQ-0044,RZQ-0183,RZQ-0333,RZQ-0347,RZQ-0233,RZQ-0258,RZQ-0014,RZQ-0274,RZQ-0214,PVJ-1588,NA,NA,NA,year_1,day_081,y1_d081_PVJ_RZQ,299,11003956,11,55.5117,70.3182
55,y1_d082_YJD_RZQ,31,\N,31,836394,1,6,RZQ,YJD,year_1,day_082,y1_d082_YJD_RZQ,RZQ,YJD,,31.0,bottom,YJD-0194,YJD-0007,YJD-0223,YJD-0025,YJD-0284,YJD-0172,YJD-0340,YJD-0193,YJD-0210,RZQ-0274,RZQ-0355,NA,NA,year_1,day_082,y1_d082_YJD_RZQ,31,836394,11,55.713,73.755
56,y1_d082_YJD_RZQ,86,\N,86,2589094,1,6,RZQ,YJD,year_1,day_082,y1_d082_YJD_RZQ,RZQ,YJD,,86.0,bottom,YJD-0194,YJD-0007,YJD-0223,YJD-0025,YJD-0284,YJD-0172,YJD-0340,YJD-0193,YJD-0210,RZQ-0347,RZQ-0258,NA,NA,year_1,day_082,y1_d082_YJD_RZQ,86,2589094,11,53.9403,74.3235
57,y1_d082_YJD_RZQ,284,\N,284,9231194,1,6,RZQ,YJD,year_1,day_082,y1_d082_YJD_RZQ,RZQ,YJD,,284.0,bottom,YJD-0157,YJD-0007,YJD-0223,YJD-0025,YJD-0284,YJD-0172,YJD-0340,YJD-0193,YJD-0210,RZQ-0169,RZQ-0014,NA,NA,year_1,day_082,y1_d082_YJD_RZQ,284,9231194,11,59.0055,70.5402
58,y1_d083_YJD_RZQ,71,\N,270,9013803,1,6,RZQ,YJD,year_1,day_083,y1_d083_YJD_RZQ,RZQ,YJD,,270.0,top,RZQ-0192,RZQ-0059,RZQ-0333,RZQ-0355,RZQ-0347,RZQ-0233,RZQ-0014,RZQ-0274,RZQ-0214,YJD-0060,NA,NA,NA,year_1,day_083,y1_d083_YJD_RZQ,71,9013803,11,56.622,70.7058
59,y1_d084_YJD_RZQ,105,\N,105,3221476,1,6,RZQ,YJD,year_1,day_084,y1_d084_YJD_RZQ,RZQ,YJD,,105.0,bottom,YJD-0293,YJD-0020,YJD-0166,YJD-0060,YJD-0025,YJD-0172,YJD-0193,YJD-0210,YJD-0340,RZQ-0274,RZQ-0014,NA,NA,year_1,day_084,y1_d084_YJD_RZQ,105,3221476,11,57.204,72.5256
60,y1_d073_UWE_YJD,200,59,200,6513032,1,6,YJD,UWE,year_1,day_073,y1_d073_UWE_YJD,YJD,UWE,59.0,200.0,bottom,UWE-1366,UWE-2047,UWE-2402,UWE-1368,UWE-1803,UWE-1104,UWE-1286,UWE-1943,UWE-1876,YJD-0025,YJD-0193,NA,NA,year_1,day_073,y1_d073_UWE_YJD,200,6513032,11,55.5885,75.663
61,y1_d074_PHS_RZQ,75,\N,75,2371663,1,6,RZQ,PHS,year_1,day_074,y1_d074_PHS_RZQ,RZQ,PHS,,75.0,bottom,PHS-1086,PHS-1716,PHS-2454,PHS-2530,PHS-1210,PHS-2539,PHS-1928,PHS-1548,PHS-1359,RZQ-0347,RZQ-0258,NA,NA,year_1,day_074,y1_d074_PHS_RZQ,75,2371663,11,54.7404,71.5638
62,y1_d074_UWE_YJD,212,\N,212,6753626,1,6,YJD,UWE,year_1,day_074,y1_d074_UWE_YJD,YJD,UWE,,212.0,top,YJD-0147,YJD-0020,YJD-0359,YJD-0025,YJD-0284,YJD-0172,YJD-0340,YJD-0106,YJD-0210,UWE-1368,UWE-1943,NA,NA,year_1,day_074,y1_d074_UWE_YJD,212,6753626,11,53.172,76.1736
63,y1_d075_UWE_YJD,208,\N,208,6940130,1,6,YJD,UWE,year_1,day_075,y1_d075_UWE_YJD,YJD,UWE,,208.0,top,YJD-0189,YJD-0020,YJD-0166,YJD-0060,YJD-0025,YJD-0172,YJD-0210,YJD-0193,YJD-0340,UWE-2003,UWE-1368,NA,NA,year_1,day_075,y1_d075_UWE_YJD,208,6940130,11,54.3432,72.6858
64,y1_d076_GAX_YJD,215,\N,215,7543838,1,6,YJD,GAX,year_1,day_076,y1_d076_GAX_YJD,YJD,GAX,,215.0,top,YJD-0298,YJD-0007,YJD-0359,YJD-0025,YJD-0284,YJD-0172,YJD-0210,YJD-0106,YJD-0340,GAX-1271,GAX-2306,NA,NA,year_1,day_076,y1_d076_GAX_YJD,215,7543838,11,56.6436,71.1135
65,y1_d080_PVJ_RZQ,260,\N,260,8439010,1,6,RZQ,PVJ,year_1,day_080,y1_d080_PVJ_RZQ,RZQ,PVJ,,260.0,bottom,PVJ-1662,PVJ-1432,PVJ-1136,PVJ-1049,PVJ-2075,PVJ-1588,PVJ-2157,PVJ-2316,PVJ-1659,RZQ-0274,RZQ-0333,NA,NA,year_1,day_080,y1_d080_PVJ_RZQ,260,8439010,11,56.3571,70.3347
