,play_per_game,game_str,runs
2992,229,y1_d059_JNJ_QEA,1.0
3051,111,y1_d045_MHY_RZQ,1.0
3060,55,y2_d068_RDO_RZQ,1.0
3094,92,y1_d065_IAQ_YJD,1.0
3100,171,y1_d021_JFU_YJD,1.0
3108,61,y1_d095_KQQ_YJD,1.0
3170,251,y1_d096_XAX_QEA,1.0
3188,162,y2_d020_GIS_RZQ,1.0
3287,266,y2_d083_WMI_YJD,1.0
3295,26,y1_d054_APZ_QEA,1.0
3348,266,y1_d050_JZK_RZQ,2.0
3441,188,y2_d011_RQJ_YJD,1.0
3465,108,y1_d079_FBP_QEA,1.0
3557,165,y2_d004_GHD_YJD,1.0
3571,155,y1_d100_MRJ_YJD,1.0
3583,249,y2_d090_NYA_YJD,1.0
3607,271,y1_d001_CGA_QEA,1.0
3649,191,y2_d007_DYE_RZQ,1.0
3657,70,y1_d025_JIL_RZQ,1.0
3666,189,y2_d077_MGJ_RZQ,1.0
3668,198,y2_d077_MGJ_RZQ,1.0
3783,225,y1_d067_OWH_QEA,1.0
3791,319,y1_d019_OXG_QEA,1.0
3898,121,y2_d092_NYA_YJD,1.0
4048,180,y2_d007_NSO_YJD,1.0
4414,186,y1_d050_UPU_YJD,1.0
4503,67,y2_d009_TSZ_RZQ,1.0
4511,173,y2_d073_XFE_RZQ,1.0
4569,242,y1_d051_UPU_YJD,1.0
4572,273,y1_d051_UPU_YJD,2.0
4619,44,y1_d038_HMN_RZQ,1.0
4621,138,y2_d056_IAK_RZQ,1.0
4674,22,y1_d094_KQQ_YJD,1.0
4681,74,y2_d058_POW_YJD,2.0
4703,138,y1_d071_ACN_QEA,1.0
4764,120,y1_d049_JZK_RZQ,1.0
4851,328,y2_d059_POW_YJD,1.0
4935,202,y1_d058_KJH_RZQ,1.0
4951,253,y1_d095_WNA_RZQ,1.0
5011,164,y2_d082_WMI_YJD,2.0
5099,186,y1_d065_UEX_RZQ,2.0
5136,63,y1_d007_JJS_YJD,1.0
5190,275,y1_d014_IXC_QEA,1.0
5201,29,y1_d031_REC_QEA,2.0
5315,59,y1_d041_TKJ_YJD,1.0
5416,23,y2_d097_YJD_RZQ,1.0
5472,241,y2_d075_VZE_YJD,1.0
5735,126,y1_d040_TKJ_YJD,2.0
5906,68,y1_d047_VHS_YJD,1.0
5934,46,y1_d056_OXG_QEA,1.0
5945,140,y2_d002_BEJ_RZQ,1.0
6062,201,y2_d074_VZE_YJD,1.0
6151,168,y2_d067_ESW_YJD,1.0
6202,229,y1_d071_ACN_QEA,1.0
6217,296,y1_d057_OXG_QEA,1.0
6268,143,y2_d095_QZE_RZQ,1.0
6279,41,y1_d094_WNA_RZQ,1.0
6283,53,y2_d097_YJD_RZQ,1.0
6313,245,y1_d065_IAQ_YJD,1.0
6317,123,y1_d066_IAQ_YJD,1.0
6322,45,y1_d007_JJS_YJD,1.0
6326,31,y2_d010_JMJ_YJD,1.0
6371,329,y1_d052_APZ_QEA,1.0
6373,199,y1_d055_APZ_QEA,2.0
6460,261,y2_d071_XFE_RZQ,1.0
6542,29,y1_d068_OWH_QEA,1.0
6592,288,y1_d075_PHS_RZQ,1.0
6597,273,y2_d009_TSZ_RZQ,1.0
6642,135,y2_d013_RQJ_YJD,1.0
6698,302,y2_d066_HKR_RZQ,1.0
6798,164,y2_d013_RQJ_YJD,1.0
7001,258,y1_d092_DYE_RZQ,1.0
7119,98,y1_d047_VHS_YJD,1.0
7156,155,y1_d049_STK_QEA,1.0
7272,25,y2_d005_NSO_YJD,1.0
7325,214,y1_d049_STK_QEA,1.0
7352,187,y1_d025_JIL_RZQ,2.0
7515,104,y2_d065_ESW_YJD,1.0
7526,23,y1_d066_IAQ_YJD,1.0
7550,254,y2_d013_RQJ_YJD,1.0
7617,207,y1_d051_JZK_RZQ,2.0
7825,305,y2_d034_KNB_YJD,1.0
7826,128,y1_d096_KQQ_YJD,1.0
7851,91,y1_d051_UPU_YJD,1.0
8000,211,y2_d058_POW_YJD,1.0
8036,42,y1_d014_IXC_QEA,2.0
8060,243,y1_d011_DYE_RZQ,1.0
8311,159,y1_d057_WZR_YJD,1.0
8357,105,y1_d063_HCI_RZQ,1.0
8524,87,y2_d001_BEJ_RZQ,1.0
9037,93,y2_d073_DYE_YJD,1.0
9096,222,y1_d082_FBP_QEA,1.0
9135,29,y1_d039_HMN_RZQ,2.0
9311,26,y2_d078_MGJ_RZQ,1.0
9348,45,y1_d023_AKX_YJD,1.0
9600,171,y2_d002_BEJ_RZQ,2.0
9613,105,y2_d051_DYE_RZQ,1.0
9799,143,y1_d025_JIL_RZQ,1.0
9862,203,y2_d005_NSO_YJD,1.0
9956,41,y2_d067_HKR_RZQ,1.0
10080,145,y1_d050_STK_QEA,2.0
10328,73,y1_d086_CRQ_QEA,1.0
10333,172,y1_d082_FBP_QEA,1.0
10373,286,y2_d066_HKR_RZQ,1.0
10392,215,y1_d050_JZK_RZQ,1.0
10417,55,y1_d096_WNA_RZQ,3.0
10429,118,y1_d024_AKX_YJD,1.0
10449,214,y1_d064_IAQ_YJD,1.0
10475,150,y2_d058_POW_YJD,1.0
10510,101,y1_d057_OXG_QEA,1.0
10655,228,y2_d083_WMI_YJD,1.0
10726,14,y2_d070_RDO_RZQ,1.0
10824,252,y1_d067_OWH_QEA,1.0
10852,190,y1_d009_DYE_RZQ,1.0
10869,40,y2_d066_HKR_RZQ,1.0
10935,332,y1_d028_CMS_YJD,1.0
10944,90,y1_d076_GAX_YJD,1.0
10978,99,y2_d090_NYA_YJD,1.0
10997,79,y2_d083_WMI_YJD,2.0
11011,196,y1_d018_OXG_QEA,2.0
11055,264,y2_d077_MGJ_RZQ,1.0
11123,112,y2_d014_TEQ_YJD,2.0
11125,300,y1_d041_TKJ_YJD,2.0
11159,7,y1_d019_OXG_QEA,1.0
11281,153,y2_d044_RZQ_YJD,1.0
11319,207,y1_d094_XAX_QEA,1.0
11437,222,y1_d073_UWE_YJD,1.0
11452,277,y1_d003_CGA_QEA,1.0
11506,361,y1_d027_JIL_RZQ,2.0
11514,10,y2_d076_MGJ_RZQ,1.0
11576,273,y2_d058_POW_YJD,1.0
11577,14,y2_d059_POW_YJD,1.0
11603,237,y1_d059_JNJ_QEA,1.0
11654,114,y1_d079_PVJ_RZQ,1.0
11806,288,y1_d036_HMN_RZQ,1.0
11905,108,y1_d002_CGA_QEA,1.0
12102,133,y1_d046_WJU_QEA,2.0
12155,42,y1_d081_PVJ_RZQ,1.0
12401,14,y1_d050_STK_QEA,1.0
12411,33,y2_d004_BEJ_RZQ,1.0
12542,10,y1_d075_UWE_YJD,1.0
12580,123,y2_d013_BVD_RZQ,1.0
12587,239,y1_d091_DYE_RZQ,1.0
12800,161,y1_d009_GEA_YJD,1.0
12844,42,y2_d075_VZE_YJD,1.0
12960,161,y1_d021_JFU_YJD,1.0
13133,57,y2_d035_KNB_YJD,1.0
13207,151,y1_d092_DYE_RZQ,1.0
13275,114,y2_d086_LFS_YJD,1.0
13342,124,y1_d038_HMN_RZQ,2.0
13435,311,y1_d042_TKJ_YJD,1.0
13436,318,y1_d042_TKJ_YJD,2.0
13495,238,y2_d064_HKR_RZQ,1.0
13513,336,y1_d058_KJH_RZQ,1.0
13537,202,y2_d072_XFE_RZQ,1.0
13685,220,y2_d040_XLB_RZQ,1.0
13698,190,y1_d029_CMS_YJD,1.0
13711,62,y2_d003_GHD_YJD,1.0
13737,124,y2_d092_NYA_YJD,1.0
13792,172,y1_d094_XAX_QEA,2.0
13793,197,y1_d094_XAX_QEA,1.0
13808,120,y2_d087_DYE_RZQ,1.0
13845,42,y2_d028_YUH_RZQ,1.0
13891,67,y1_d041_TKJ_YJD,1.0
13921,249,y1_d089_CRQ_QEA,1.0
13933,82,y1_d017_OXG_QEA,1.0
13955,12,y1_d091_DYE_RZQ,1.0
14101,51,y2_d022_DMS_RZQ,1.0
14106,23,y1_d011_DYE_RZQ,1.0
14150,72,y1_d045_MHY_RZQ,1.0
14181,90,y2_d027_YUH_RZQ,1.0
14275,259,y1_d082_FBP_QEA,2.0
14433,125,y1_d002_CGA_QEA,1.0
14528,38,y2_d047_IHI_YJD,1.0
14691,255,y2_d065_ESW_YJD,1.0
14703,217,y1_d020_JFU_YJD,2.0
14906,331,y1_d018_OXG_QEA,1.0
14937,65,y2_d019_GIS_RZQ,2.0
15034,181,y1_d095_KQQ_YJD,1.0
15038,106,y1_d096_KQQ_YJD,1.0
15066,300,y1_d052_APZ_QEA,1.0
15077,131,y1_d067_OWH_QEA,1.0
15083,53,y1_d031_REC_QEA,2.0
15093,260,y1_d091_DYE_RZQ,1.0
15173,192,y1_d099_MRJ_YJD,1.0
15230,224,y1_d032_REC_QEA,1.0
15502,213,y2_d013_RQJ_YJD,1.0
15556,250,y2_d013_BVD_RZQ,1.0
15590,273,y1_d057_KJH_RZQ,1.0
15618,332,y1_d094_WNA_RZQ,1.0
15697,270,y1_d057_OXG_QEA,1.0
15741,26,y2_d077_MGJ_RZQ,1.0
15872,193,y1_d081_FBP_QEA,1.0
15912,60,y2_d030_IKJ_RZQ,2.0
15913,384,y1_d027_JIL_RZQ,1.0
15915,424,y1_d027_JIL_RZQ,1.0
15985,176,y1_d020_JFU_YJD,1.0
16165,38,y2_d074_VZE_YJD,1.0
16197,303,y1_d057_OXG_QEA,1.0
16276,169,y1_d077_GAX_YJD,1.0
16394,228,y1_d073_PHS_RZQ,1.0
16405,268,y2_d037_UKI_RZQ,2.0
16531,344,y2_d094_QZE_RZQ,2.0
16674,111,y2_d008_TSZ_RZQ,1.0
16794,194,y2_d011_BVD_RZQ,2.0
16910,97,y1_d040_TKJ_YJD,1.0
16913,190,y1_d040_TKJ_YJD,1.0
16939,45,y1_d015_IXC_QEA,1.0
17033,45,y2_d072_DYE_YJD,1.0
17065,126,y2_d052_PTB_YJD,1.0
17073,237,y1_d048_UPU_YJD,1.0
17094,84,y1_d071_ACN_QEA,1.0
17101,45,y1_d004_CGA_QEA,1.0
17127,190,y2_d002_BEJ_RZQ,1.0
17164,37,y1_d081_PVJ_RZQ,1.0
17187,259,y2_d080_YJD_RZQ,1.0
17199,262,y2_d024_ALA_YJD,1.0
17228,113,y1_d020_JFU_YJD,1.0
17346,315,y1_d024_AKX_YJD,1.0
17411,301,y1_d057_OXG_QEA,1.0
17665,274,y1_d010_GEA_YJD,1.0
17754,108,y2_d006_DYE_RZQ,1.0
17926,92,y1_d039_HMN_RZQ,1.0
18151,115,y1_d040_TKJ_YJD,1.0
18274,126,y2_d002_GHD_YJD,1.0
18411,137,y2_d069_RDO_RZQ,1.0
18518,126,y1_d018_OXG_QEA,1.0
18583,101,y2_d040_XLB_RZQ,1.0
18638,27,y1_d042_TKJ_YJD,1.0
18765,164,y2_d065_ESW_YJD,1.0
18882,264,y1_d051_JZK_RZQ,1.0
18909,39,y2_d028_YUH_RZQ,1.0
19035,290,y2_d094_QZE_RZQ,1.0
19082,38,y1_d021_JFU_YJD,2.0
19221,248,y1_d078_GAX_YJD,1.0
19296,339,y1_d068_OWH_QEA,1.0
19307,13,y2_d001_BEJ_RZQ,1.0
19552,85,y2_d058_POW_YJD,1.0
19647,107,y2_d077_MGJ_RZQ,1.0
19655,227,y1_d080_PVJ_RZQ,1.0
19681,44,y1_d022_AKX_YJD,1.0
19752,154,y1_d052_APZ_QEA,1.0
19760,145,y1_d080_FBP_QEA,1.0
19798,236,y2_d064_HKR_RZQ,1.0
19901,86,y1_d075_UWE_YJD,1.0
19926,15,y1_d019_OXG_QEA,1.0
19963,41,y1_d026_JIL_RZQ,1.0
20087,130,y1_d016_OXG_QEA,1.0
20158,9,y1_d011_GEA_YJD,1.0
20204,121,y1_d069_ACN_QEA,1.0
20383,193,y1_d050.5_STK_QEA,1.0
20481,135,y2_d032_KNB_YJD,1.0
20509,76,y2_d074.5_VZE_YJD,1.0
20587,192,y1_d094_WNA_RZQ,1.0
20592,129,y2_d041_XLB_RZQ,1.0
20613,111,y2_d064_ESW_YJD,1.0
20630,124,y1_d099_MRJ_YJD,2.0
20716,35,y2_d077_MGJ_RZQ,1.0
20769,69,y2_d006_NSO_YJD,1.0
20783,153,y1_d049_UPU_YJD,1.0
20803,93,y1_d087_CRQ_QEA,1.0
20947,105,y2_d090_NYA_YJD,1.0
20991,148,y1_d065_OWH_QEA,1.0
20999,53,y1_d033_REC_QEA,1.0
21023,164,y2_d088_DYE_RZQ,1.0
21029,135,y2_d067_HKR_RZQ,1.0
21032,71,y1_d025_JIL_RZQ,1.0
21140,59,y2_d019_GIS_RZQ,1.0
21150,109,y2_d030_IKJ_RZQ,1.0
21225,283,y2_d005_NSO_YJD,1.0
21243,21,y1_d040_TKJ_YJD,1.0
21365,23,y2_d045_IHI_YJD,1.0
21448,114,y1_d091_DYE_RZQ,1.0
21468,280,y2_d029_IKJ_RZQ,1.0
21543,313,y2_d009_JMJ_YJD,1.0
21607,32,y1_d066_OWH_QEA,1.0
21613,146,y1_d057_OXG_QEA,1.0
21644,277,y2_d066_HKR_RZQ,1.0
21825,157,y2_d029_IKJ_RZQ,1.0
21835,289,y1_d048_MHY_RZQ,1.0
21920,211,y1_d040_TKJ_YJD,1.0
21962,84,y1_d094_XAX_QEA,1.0
21986,40,y1_d038_HMN_RZQ,1.0
22240,326,y2_d059_POW_YJD,1.0
22357,236,y1_d086_DYE_YJD,1.0
22359,110,y2_d067_ESW_YJD,1.0
22459,125,y2_d030_IKJ_RZQ,1.0
22510,158,y2_d097_YJD_RZQ,1.0
22581,114,y1_d059_JNJ_QEA,1.0
22607,103,y2_d022_DMS_RZQ,1.0
22650,138,y1_d073_PHS_RZQ,2.0
22747,183,y1_d086_CRQ_QEA,1.0
22799,141,y1_d075_PHS_RZQ,1.0
22806,341,y2_d094_QZE_RZQ,1.0
22821,209,y2_d040_XLB_RZQ,1.0
22838,148,y2_d071_DYE_YJD,1.0
22978,91,y2_d094_QZE_RZQ,2.0
23069,36,y1_d012_IXC_QEA,1.0
23119,16,y2_d078_MGJ_RZQ,1.0
23185,56,y2_d035_KNB_YJD,1.0
23322,264,y1_d066_IAQ_YJD,2.0
23332,119,y1_d094_KQQ_YJD,1.0
23346,74,y1_d049_UPU_YJD,2.0
23380,64,y1_d056_OXG_QEA,1.0
23416,34,y2_d057.5_IAK_RZQ,2.0
23479,151,y1_d020_JFU_YJD,1.0
23555,286,y1_d058_OXG_QEA,1.0
23756,187,y2_d064_HKR_RZQ,1.0
23757,82,y2_d067_HKR_RZQ,1.0
23833,21,y2_d033_KNB_YJD,3.0
23858,96,y2_d054_PTB_YJD,1.0
23860,292,y2_d013_RQJ_YJD,1.0
23972,105,y1_d086_DYE_YJD,1.0
24006,205,y2_d012_RQJ_YJD,1.0
24116,242,y2_d068_RDO_RZQ,1.0
24150,290,y2_d004_GHD_YJD,1.0
24177,60,y1_d098_MRJ_YJD,1.0
24243,296,y2_d005_DYE_RZQ,1.0
24266,159,y1_d050_JZK_RZQ,2.0
24308,122,y1_d024_AKX_YJD,1.0
24317,284,y1_d030_CMS_YJD,1.0
24326,118,y1_d078_GAX_YJD,1.0
24333,275,y1_d064_IAQ_YJD,1.0
24433,278,y1_d057_KJH_RZQ,1.0
24479,180,y2_d045_IHI_YJD,1.0
24524,106,y1_d004_CGA_QEA,1.0
24547,214,y2_d001_BEJ_RZQ,1.0
24591,262,y2_d094_QZE_RZQ,1.0
24612,206,y2_d028_YUH_RZQ,1.0
24683,124,y1_d047_VHS_YJD,1.0
24699,181,y1_d054_APZ_QEA,1.0
24729,10,y1_d096_XAX_QEA,1.0
24758,192,y1_d038_HMN_RZQ,1.0
24787,202,y1_d067_UEX_RZQ,1.0
24848,307,y2_d043_RZQ_YJD,1.0
24905,35,y2_d020_GIS_RZQ,1.0
24968,193,y2_d084_LFS_YJD,1.0
25146,261,y2_d013_RQJ_YJD,1.0
25162,136,y2_d074.5_VZE_YJD,1.0
25166,190,y2_d074.5_VZE_YJD,1.0
25250,193,y2_d070_RDO_RZQ,1.0
25308,81,y1_d072_ACN_QEA,1.0
25395,54,y1_d034_AVV_YJD,1.0
25438,76,y1_d051_UPU_YJD,1.0
25557,311,y1_d094_KQQ_YJD,1.0
25693,103,y1_d023_AKX_YJD,1.0
25709,49,y2_d002_GHD_YJD,1.0
25717,223,y2_d052_PTB_YJD,1.0
25753,167,y1_d066_OWH_QEA,1.0
25767,85,y2_d023_DMS_RZQ,1.0
25799,201,y2_d063_KIR_RZQ,1.0
25819,140,y1_d084_YJD_RZQ,1.0
25922,202,y2_d002_BEJ_RZQ,1.0
26065,23,y1_d054_APZ_QEA,1.0
26089,330,y1_d044_WJU_QEA,1.0
26092,7,y1_d095_XAX_QEA,1.0
26149,238,y2_d026_YUH_RZQ,1.0
26200,162,y1_d071_ACN_QEA,1.0
26223,296,y1_d046_WJU_QEA,1.0
26323,134,y1_d065_IAQ_YJD,1.0
26342,28,y2_d052_PTB_YJD,1.0
26423,271,y1_d051_JZK_RZQ,2.0
26469,247,y2_d066_ESW_YJD,1.0
26486,326,y2_d084_LFS_YJD,1.0
26566,308,y2_d067_HKR_RZQ,1.0
26585,217,y1_d075_PHS_RZQ,1.0
26591,256,y2_d009_TSZ_RZQ,1.0
26597,211,y2_d079_YJD_RZQ,1.0
26735,99,y1_d007_MCJ_RZQ,1.0
26783,23,y2_d009_JMJ_YJD,1.0
26784,53,y2_d009_JMJ_YJD,1.0
26882,233,y2_d056_IAK_RZQ,1.0
26985,24,y1_d069_ACN_QEA,2.0
27012,16,y1_d045_WJU_QEA,2.0
27114,206,y2_d011_RQJ_YJD,1.0
27149,94,y1_d056_OXG_QEA,1.0
27153,102,y1_d058_OXG_QEA,1.0
27314,12,y1_d033_REC_QEA,1.0
27437,162,y1_d053_APZ_QEA,1.0
27501,287,y1_d046_MHY_RZQ,1.0
27651,277,y1_d045_MHY_RZQ,1.0
27772,81,y1_d049_STK_QEA,2.0
27805,271,y2_d029_IKJ_RZQ,1.0
27810,163,y1_d008_MCJ_RZQ,1.0
27879,230,y2_d044_RZQ_YJD,1.0
27889,225,y2_d075_VZE_YJD,1.0
28001,179,y2_d072_DYE_YJD,1.0
28337,255,y2_d086_LFS_YJD,1.0
28377,141,y1_d072_ACN_QEA,1.0
28422,58,y2_d006_DYE_RZQ,1.0
28482,12,y1_d022_AKX_YJD,1.0
28532,265,y2_d011_RQJ_YJD,1.0
28544,134,y1_d045_VHS_YJD,1.0
28556,45,y1_d070_ACN_QEA,1.0
28572,81,y1_d060.5_JNJ_QEA,1.0
28717,311,y1_d058_WZR_YJD,1.0
28749,285,y1_d046_WJU_QEA,1.0
28857,16,y2_d086_LFS_YJD,1.0
28860,93,y2_d086_LFS_YJD,1.0
29003,31,y2_d028_YUH_RZQ,1.0
29073,25,y1_d059_JNJ_QEA,1.0
29104,156,y2_d050_DYE_RZQ,1.0
29122,206,y1_d008_MCJ_RZQ,1.0
29340,307,y1_d094_KQQ_YJD,1.0
29385,206,y1_d019_OXG_QEA,1.0
29414,159,y2_d029_IKJ_RZQ,1.0
29491,71,y2_d084_LFS_YJD,1.0
29523,231,y2_d083_WMI_YJD,1.0
29555,279,y2_d012_BVD_RZQ,1.0
29557,81,y2_d023_DMS_RZQ,1.0
29700,272,y1_d059_JNJ_QEA,1.0
29720,249,y2_d023_DMS_RZQ,1.0
29820,134,y2_d085.5_LFS_YJD,1.0
29886,156,y2_d088_DYE_RZQ,1.0
29891,64,y2_d029_IKJ_RZQ,1.0
29899,338,y1_d058_KJH_RZQ,1.0
29995,48,y1_d080_FBP_QEA,1.0
30187,121,y2_d007_DYE_RZQ,1.0
30331,220,y2_d022_DMS_RZQ,1.0
30360,303,y1_d075_PHS_RZQ,1.0
30451,160,y1_d057_OXG_QEA,1.0
30499,47,y1_d045_MHY_RZQ,1.0
30513,30,y1_d064_UEX_RZQ,2.0
30516,57,y1_d096_WNA_RZQ,1.0
30631,340,y1_d046_WJU_QEA,1.0
30642,103,y1_d090_DYE_RZQ,1.0
30759,290,y2_d083_WMI_YJD,1.0
30765,231,y1_d080_FBP_QEA,1.0
30926,82,y1_d096_XAX_QEA,1.0
30934,261,y2_d023_DMS_RZQ,1.0
30964,109,y2_d077_MGJ_RZQ,2.0
31190,45,y2_d012_RQJ_YJD,1.0
31199,117,y1_d042_TKJ_YJD,1.0
31286,181,y2_d009_TSZ_RZQ,1.0
31336,246,y2_d016_TEQ_YJD,1.0
31410,89,y2_d055_IAK_RZQ,1.0
31420,93,y1_d056_KJH_RZQ,1.0
31453,69,y2_d024.5_ALA_YJD,1.0
31515,39,y1_d017_OXG_QEA,1.0
31518,255,y1_d019_OXG_QEA,1.0
31580,269,y1_d008_MCJ_RZQ,1.0
31605,96,y2_d099_YJD_RZQ,1.0
31628,168,y1_d006_JJS_YJD,1.0
31675,159,y1_d050.5_STK_QEA,1.0
32014,160,y1_d051_JZK_RZQ,1.0
32020,71,y2_d077_MGJ_RZQ,1.0
32075,163,y1_d094_KQQ_YJD,1.0
32172,374,y1_d027_JIL_RZQ,1.0
32202,187,y2_d039_XLB_RZQ,1.0
32215,280,y2_d024_ALA_YJD,1.0
32238,182,y1_d020_JFU_YJD,1.0
32284,216,y1_d001_CGA_QEA,1.0
32294,134,y1_d018_OXG_QEA,1.0
32302,65,y2_d011_BVD_RZQ,1.0
32330,231,y1_d058_KJH_RZQ,1.0
32550,28,y1_d066_IAQ_YJD,1.0
32591,133,y2_d074.5_VZE_YJD,1.0
32819,250,y2_d009_TSZ_RZQ,1.0
32847,287,y2_d004_GHD_YJD,1.0
32848,25,y1_d064_IAQ_YJD,1.0
32852,188,y2_d046.5_IHI_YJD,1.0
32892,250,y2_d075_VZE_YJD,1.0
32936,59,y1_d011_DYE_RZQ,1.0
32950,39,y1_d039_HMN_RZQ,1.0
33015,127,y1_d021_JFU_YJD,1.0
33128,68,y1_d048_MHY_RZQ,1.0
33189,61,y2_d084_LFS_YJD,1.0
33190,72,y2_d084_LFS_YJD,1.0
33218,116,y1_d054_APZ_QEA,2.0
33224,50,y1_d089_CRQ_QEA,1.0
33386,163,y1_d054_APZ_QEA,2.0
33408,16,y1_d096_XAX_QEA,1.0
33466,204,y1_d067_UEX_RZQ,1.0
33487,206,y1_d022_AKX_YJD,1.0
33494,259,y2_d072_DYE_YJD,1.0
33520,66,y2_d032_KNB_YJD,1.0
33530,49,y2_d085.5_LFS_YJD,1.0
33726,204,y1_d093_DYE_RZQ,1.0
33797,91,y1_d066_IAQ_YJD,1.0
33840,304,y1_d052_APZ_QEA,1.0
33843,193,y1_d003_CGA_QEA,1.0
33856,237,y2_d001_BEJ_RZQ,1.0
33925,63,y1_d033_AVV_YJD,1.0
33985,111,y2_d074.5_VZE_YJD,1.0
34071,181,y2_d038_UKI_RZQ,1.0
34212,142,y2_d094_QZE_RZQ,1.0
34261,45,y2_d009_JMJ_YJD,1.0
34293,53,y2_d074.5_VZE_YJD,1.0
34360,293,y1_d036_HMN_RZQ,1.0
34392,56,y2_d009_TSZ_RZQ,1.0
34497,298,y2_d012_BVD_RZQ,1.0
34507,306,y2_d051_DYE_RZQ,1.0
34658,204,y1_d009_DYE_RZQ,1.0
34661,196,y2_d089_DYE_RZQ,1.0
34760,207,y2_d033_KNB_YJD,1.0
34761,58,y2_d085.5_LFS_YJD,1.0
34812,55,y1_d082_FBP_QEA,1.0
34840,66,y2_d050_DYE_RZQ,1.0
34851,146,y1_d025_JIL_RZQ,1.0
34866,56,y1_d048_MHY_RZQ,1.0
35036,104,y1_d006_MCJ_RZQ,1.0
35061,75,y1_d094_WNA_RZQ,1.0
35151,194,y1_d079_FBP_QEA,1.0
35297,72,y2_d083.5_WMI_YJD,1.0
35311,59,y1_d068_OWH_QEA,2.0
35332,59,y1_d091_DYE_RZQ,1.0
35491,91,y2_d012_BVD_RZQ,1.0
35716,138,y1_d058_KJH_RZQ,1.0
35725,19,y2_d095_QZE_RZQ,1.0
35893,293,y1_d035_AVV_YJD,1.0
36022,123,y1_d049_JZK_RZQ,1.0
36023,184,y1_d049_JZK_RZQ,1.0
36205,17,y1_d048_MHY_RZQ,1.0
36255,29,y2_d034_KNB_YJD,1.0
36265,53,y2_d060_POW_YJD,1.0
36316,310,y1_d057_OXG_QEA,1.0
36325,37,y2_d004_BEJ_RZQ,1.0
36332,296,y1_d093_DYE_RZQ,1.0
36419,257,y2_d013_RQJ_YJD,1.0
36603,192,y2_d087_DYE_RZQ,1.0
36755,310,y1_d010_DYE_RZQ,1.0
36794,95,y2_d008_TSZ_RZQ,1.0
36860,177,y2_d006_NSO_YJD,1.0
37018,130,y2_d059_POW_YJD,1.0
37064,275,y1_d068_OWH_QEA,1.0
37093,82,y2_d049_DYE_RZQ,1.0
37115,51,y2_d077_MGJ_RZQ,1.0
37154,236,y2_d064_ESW_YJD,1.0
37243,197,y1_d009_DYE_RZQ,2.0
37342,150,y2_d085.5_LFS_YJD,1.0
37357,74,y1_d048_UPU_YJD,2.0
37416,259,y2_d064_HKR_RZQ,1.0
37434,268,y1_d058_KJH_RZQ,2.0
37467,333,y2_d080_YJD_RZQ,1.0
37485,206,y1_d019_JFU_YJD,2.0
37553,183,y1_d096_XAX_QEA,1.0
37701,84,y1_d012_IXC_QEA,1.0
37707,101,y1_d018_OXG_QEA,1.0
37785,93,y1_d086_DYE_YJD,1.0
37857,191,y1_d058_OXG_QEA,1.0
37925,221,y2_d038_UKI_RZQ,1.0
37938,101,y2_d099_YJD_RZQ,1.0
