,game_str,play_per_game,outs
1292,y2_d067_HKR_RZQ,138.0,1.0
1294,y2_d067_HKR_RZQ,239.0,1.0
1332,y2_d016_TEQ_YJD,178.0,1.0
1371,y2_d071_DYE_YJD,292.0,1.0
1373,y2_d073_DYE_YJD,81.0,1.0
1384,y2_d079_YJD_RZQ,210.0,1.0
1394,y2_d097_YJD_RZQ,136.0,1.0
1420,y1_d081_FBP_QEA,66.0,1.0
1421,y1_d081_FBP_QEA,235.0,1.0
1430,y1_d092_DYE_RZQ,304.0,1.0
1435,y1_d098_MRJ_YJD,78.0,1.0
1447,y1_d051_UPU_YJD,195.0,1.0
1451,y1_d056_OXG_QEA,3.0,1.0
1508,y1_d049_JZK_RZQ,179.0,1.0
1510,y1_d051_JZK_RZQ,3.0,1.0
1525,y2_d009_TSZ_RZQ,188.0,1.0
1526,y2_d020_GIS_RZQ,129.0,1.0
1539,y2_d031_IKJ_RZQ,20.0,1.0
1548,y2_d074.5_VZE_YJD,188.0,1.0
1552,y2_d077_MGJ_RZQ,73.0,1.0
1560,y1_d088_CRQ_QEA,230.0,1.0
1565,y2_d010_JMJ_YJD,80.0,1.0
1572,y2_d056_IAK_RZQ,139.0,1.0
1582,y2_d024_ALA_YJD,19.0,1.0
1586,y2_d032_KNB_YJD,180.0,1.0
1594,y2_d050_DYE_RZQ,157.0,1.0
1611,y2_d062_KIR_RZQ,183.0,1.0
1614,y2_d067_HKR_RZQ,211.0,1.0
1615,y2_d067_HKR_RZQ,306.0,1.0
1654,y1_d057_OXG_QEA,323.0,1.0
1660,y1_d073_PHS_RZQ,192.0,1.0
1667,y1_d086_DYE_YJD,7.0,1.0
1673,y2_d001_BEJ_RZQ,7.0,1.0
1675,y2_d005_NSO_YJD,73.0,1.0
1693,y2_d082_WMI_YJD,127.0,1.0
1699,y2_d091_NYA_YJD,148.0,1.0
1710,y1_d021_JFU_YJD,275.0,1.0
1715,y1_d035_AVV_YJD,28.0,1.0
1735,y1_d049_UPU_YJD,52.0,1.0
1737,y1_d061_HCI_RZQ,4.0,1.0
1744,y1_d067_UEX_RZQ,125.0,1.0
1754,y2_d057_IAK_RZQ,209.0,1.0
1766,y1_d019_JFU_YJD,83.0,1.0
1770,y1_d050_UPU_YJD,35.0,1.0
1776,y1_d052_APZ_QEA,219.0,1.0
1790,y1_d066_OWH_QEA,260.0,1.0
1803,y1_d082_FBP_QEA,239.0,1.0
1807,y1_d094_KQQ_YJD,119.0,1.0
1815,y1_d095_WNA_RZQ,119.0,1.0
1821,y2_d004_GHD_YJD,69.0,1.0
1857,y1_d064_UEX_RZQ,279.0,1.0
1875,y1_d001_CGA_QEA,135.0,1.0
1876,y1_d017_OXG_QEA,229.0,1.0
1896,y1_d067_OWH_QEA,155.0,1.0
1913,y2_d036_UKI_RZQ,253.0,1.0
1920,y2_d060_POW_YJD,179.0,1.0
1937,y1_d007_JJS_YJD,78.0,1.0
1941,y1_d043_WJU_QEA,94.0,1.0
1949,y1_d059_JNJ_QEA,168.0,1.0
1957,y1_d092_DYE_RZQ,313.0,1.0
1958,y1_d092_DYE_RZQ,314.0,1.0
1989,y1_d085_YJD_RZQ,206.0,1.0
1993,y1_d086_CRQ_QEA,249.0,1.0
2009,y2_d003_GHD_YJD,56.0,1.0
2019,y2_d012_RQJ_YJD,119.0,1.0
2020,y2_d012_RQJ_YJD,277.0,1.0
2026,y2_d024_ALA_YJD,274.0,2.0
2037,y1_d027_JIL_RZQ,177.0,1.0
2039,y1_d036_HMN_RZQ,16.0,1.0
2042,y1_d036_HMN_RZQ,292.0,1.0
2081,y2_d013_RQJ_YJD,98.0,1.0
2104,y1_d039_HMN_RZQ,40.0,1.0
2117,y1_d053_APZ_QEA,223.0,1.0
2138,y1_d075_PHS_RZQ,256.0,1.0
2142,y1_d095_KQQ_YJD,14.0,1.0
2145,y2_d032_KNB_YJD,213.0,1.0
2149,y2_d035_KNB_YJD,343.0,1.0
2165,y2_d086_LFS_YJD,180.0,1.0
2168,y2_d087_DYE_RZQ,162.0,1.0
2179,y1_d095_XAX_QEA,28.0,1.0
2197,y2_d019_GIS_RZQ,60.0,1.0
2235,y2_d014_TEQ_YJD,140.0,1.0
2243,y2_d034_KNB_YJD,219.0,1.0
2272,y1_d047_VHS_YJD,87.0,1.0
2285,y1_d096_WNA_RZQ,227.0,1.0
2294,y2_d006_DYE_RZQ,169.0,1.0
2295,y2_d006_DYE_RZQ,282.0,1.0
2297,y2_d008_TSZ_RZQ,222.0,1.0
2315,y1_d004_CGA_QEA,40.0,1.0
2329,y1_d064_IAQ_YJD,82.0,1.0
2352,y1_d038_HMN_RZQ,95.0,1.0
2360,y1_d051_JZK_RZQ,55.0,1.0
2361,y1_d051_JZK_RZQ,64.0,1.0
2388,y2_d029_IKJ_RZQ,263.0,1.0
2392,y2_d031_IKJ_RZQ,249.0,1.0
2393,y2_d031_IKJ_RZQ,294.0,1.0
2403,y2_d044_RZQ_YJD,106.0,1.0
2405,y2_d049_DYE_RZQ,83.0,1.0
2412,y2_d077_MGJ_RZQ,162.0,1.0
2413,y2_d077_MGJ_RZQ,185.0,1.0
2414,y2_d077_MGJ_RZQ,199.0,1.0
2418,y1_d033_AVV_YJD,65.0,1.0
2429,y1_d057_KJH_RZQ,76.0,1.0
2441,y2_d015_TEQ_YJD,195.0,3.0
2446,y2_d034_KNB_YJD,302.0,1.0
2447,y2_d041_XLB_RZQ,18.0,1.0
2456,y2_d064_ESW_YJD,122.0,1.0
2464,y2_d071_XFE_RZQ,195.0,1.0
2476,y2_d088_DYE_RZQ,152.0,2.0
2484,y2_d010_JMJ_YJD,124.0,1.0
2489,y2_d013_BVD_RZQ,118.0,1.0
2493,y2_d024.5_ALA_YJD,148.0,1.0
2499,y2_d042_RZQ_YJD,238.0,1.0
2503,y2_d056_IAK_RZQ,202.0,1.0
2505,y2_d056_IAK_RZQ,305.0,1.0
2510,y2_d065_ESW_YJD,251.0,1.0
2520,y2_d047_IHI_YJD,223.0,1.0
2521,y2_d047_IHI_YJD,264.0,1.0
2529,y2_d073_DYE_YJD,45.0,1.0
2532,y2_d073_DYE_YJD,242.0,1.0
2533,y2_d076_MGJ_RZQ,82.0,1.0
2534,y2_d076_MGJ_RZQ,133.0,1.0
2538,y2_d085.5_LFS_YJD,63.0,1.0
2543,y2_d091_NYA_YJD,229.0,2.0
2556,y1_d048_STK_QEA,187.0,1.0
2559,y1_d068_OWH_QEA,43.0,1.0
2574,y1_d097_MRJ_YJD,59.0,1.0
2575,y1_d097_MRJ_YJD,181.0,1.0
2579,y1_d006_JJS_YJD,158.0,1.0
2599,y1_d056_KJH_RZQ,239.0,1.0
2616,y1_d078_GAX_YJD,263.0,1.0
2622,y2_d011_RQJ_YJD,106.0,3.0
2629,y2_d036_UKI_RZQ,48.0,1.0
2639,y2_d065_HKR_RZQ,119.0,1.0
2664,y1_d038_HMN_RZQ,111.0,1.0
2667,y1_d049_JZK_RZQ,277.0,1.0
2702,y2_d031_IKJ_RZQ,277.0,1.0
2715,y2_d098_YJD_RZQ,249.0,1.0
2716,y1_d072_ACN_QEA,252.0,1.0
2732,y1_d100_MRJ_YJD,194.0,1.0
2734,y2_d010_JMJ_YJD,160.0,1.0
2739,y2_d016_TEQ_YJD,194.0,1.0
2805,y2_d080_YJD_RZQ,20.0,1.0
2806,y2_d080_YJD_RZQ,65.0,1.0
2814,y1_d016_OXG_QEA,33.0,1.0
2835,y1_d057_OXG_QEA,185.0,1.0
2846,y1_d096_KQQ_YJD,74.0,1.0
2849,y1_d096_KQQ_YJD,213.0,1.0
2850,y2_d005_NSO_YJD,64.0,1.0
2852,y2_d005_NSO_YJD,204.0,1.0
2856,y2_d010_TSZ_RZQ,137.0,1.0
2884,y1_d049_UPU_YJD,217.0,1.0
2923,y1_d058_WZR_YJD,167.0,1.0
2988,y2_d067_ESW_YJD,218.0,1.0
2992,y1_d017_OXG_QEA,30.0,1.0
2994,y1_d018_OXG_QEA,44.0,1.0
2997,y1_d018_OXG_QEA,286.0,1.0
3009,y1_d048_UPU_YJD,27.0,1.0
3023,y1_d067_IAQ_YJD,171.0,1.0
3045,y2_d081_YJD_RZQ,56.0,1.0
3060,y2_d092_NYA_YJD,115.0,1.0
3061,y2_d092_NYA_YJD,117.0,1.0
3066,y1_d002_CGA_QEA,87.0,1.0
3069,y1_d007_JJS_YJD,136.0,1.0
3071,y1_d007_JJS_YJD,276.0,1.0
3081,y1_d043_WJU_QEA,231.0,1.0
3095,y1_d068_OWH_QEA,30.0,1.0
3097,y1_d068_OWH_QEA,228.0,1.0
3112,y1_d098_MRJ_YJD,71.0,1.0
3119,y2_d006_DYE_RZQ,51.0,1.0
3131,y2_d023_DMS_RZQ,203.0,1.0
3169,y2_d011_BVD_RZQ,267.0,1.0
3170,y2_d012_RQJ_YJD,114.0,1.0
3187,y1_d037_HMN_RZQ,169.0,1.0
3200,y1_d066_IAQ_YJD,107.0,1.0
3228,y2_d033_KNB_YJD,299.0,1.0
3236,y1_d001_CGA_QEA,22.0,1.0
3258,y1_d053_APZ_QEA,232.0,1.0
3264,y1_d057_WZR_YJD,227.0,1.0
3268,y1_d072_ACN_QEA,26.0,1.0
3280,y2_d032_KNB_YJD,284.0,1.0
3281,y2_d035_KNB_YJD,97.0,1.0
3302,y2_d095_QZE_RZQ,322.0,1.0
3309,y1_d093_DYE_RZQ,281.0,1.0
3318,y2_d033_KNB_YJD,133.0,1.0
3320,y2_d037_UKI_RZQ,57.0,1.0
3348,y2_d014_TEQ_YJD,65.0,1.0
3351,y2_d014_TEQ_YJD,258.0,1.0
3392,y1_d067_UEX_RZQ,189.0,1.0
3395,y1_d090_DYE_RZQ,49.0,1.0
3410,y2_d022_DMS_RZQ,203.0,1.0
3411,y2_d022_DMS_RZQ,216.0,1.0
3417,y2_d046_IHI_YJD,125.0,1.0
3426,y2_d094_QZE_RZQ,13.0,1.0
3432,y1_d005_JJS_YJD,162.0,1.0
3442,y1_d027_JIL_RZQ,418.0,1.0
3443,y1_d027_JIL_RZQ,433.0,2.0
3444,y1_d036_HMN_RZQ,110.0,1.0
3453,y1_d065_IAQ_YJD,95.0,1.0
3466,y1_d028_CMS_YJD,346.0,1.0
3470,y1_d050_JZK_RZQ,289.0,1.0
3486,y2_d009_TSZ_RZQ,246.0,1.0
3507,y2_d098_YJD_RZQ,139.0,1.0
3509,y1_d020_JFU_YJD,156.0,1.0
3514,y1_d045_WJU_QEA,54.0,1.0
3545,y2_d015_TEQ_YJD,24.0,1.0
3561,y2_d059_POW_YJD,38.0,2.0
3591,y2_d071_XFE_RZQ,251.0,1.0
3594,y2_d083.5_WMI_YJD,71.0,1.0
3595,y2_d083.5_WMI_YJD,75.0,1.0
3633,y2_d054_PTB_YJD,115.0,1.0
3643,y2_d073_DYE_YJD,244.0,1.0
3665,y1_d048_STK_QEA,67.0,1.0
3676,y1_d081_FBP_QEA,192.0,1.0
3688,y1_d003_CGA_QEA,146.0,1.0
3716,y1_d056_OXG_QEA,301.0,1.0
3720,y1_d057_OXG_QEA,242.0,1.0
3752,y2_d036_UKI_RZQ,91.0,1.0
3774,y2_d092_NYA_YJD,161.0,1.0
3776,y1_d008_JJS_YJD,40.0,1.0
3788,y1_d058_OXG_QEA,78.0,1.0
3795,y2_d009_TSZ_RZQ,82.0,1.0
3809,y2_d031_IKJ_RZQ,144.0,1.0
3838,y2_d013_BVD_RZQ,197.0,1.0
3860,y2_d032_KNB_YJD,37.0,1.0
3863,y2_d032_KNB_YJD,231.0,1.0
3866,y2_d035_KNB_YJD,305.0,1.0
3869,y2_d045_IHI_YJD,130.0,1.0
3881,y2_d086_LFS_YJD,175.0,1.0
3882,y2_d086_LFS_YJD,251.0,1.0
3889,y2_d059_POW_YJD,194.0,1.0
3902,y2_d069_RDO_RZQ,164.0,1.0
3909,y2_d071_XFE_RZQ,24.0,1.0
3910,y2_d078_MGJ_RZQ,37.0,1.0
3924,y1_d003_CGA_QEA,63.0,1.0
3936,y1_d046_MHY_RZQ,45.0,1.0
3937,y1_d046_MHY_RZQ,191.0,1.0
3940,y1_d047_MHY_RZQ,63.0,1.0
3951,y1_d056_WZR_YJD,39.0,1.0
3990,y2_d085.5_LFS_YJD,141.0,1.0
3991,y2_d085.5_LFS_YJD,185.0,1.0
3998,y1_d013_IXC_QEA,185.0,1.0
4017,y1_d049_UPU_YJD,319.0,1.0
4019,y1_d061_HCI_RZQ,64.0,1.0
4022,y1_d067_UEX_RZQ,243.0,1.0
4037,y2_d096_QZE_RZQ,167.0,1.0
4048,y1_d050_UPU_YJD,46.0,2.0
4054,y1_d052_APZ_QEA,345.0,1.0
4065,y1_d066_OWH_QEA,37.0,1.0
4079,y1_d094_KQQ_YJD,308.0,1.0
4085,y2_d003_GHD_YJD,272.0,1.0
4089,y2_d004_GHD_YJD,46.0,1.0
4095,y2_d009_JMJ_YJD,303.0,1.0
4108,y1_d019_JFU_YJD,228.0,1.0
4131,y1_d066_OWH_QEA,308.0,1.0
4138,y2_d072_DYE_YJD,260.0,2.0
4183,y2_d083_WMI_YJD,256.0,1.0
4189,y2_d085_LFS_YJD,135.0,2.0
4219,y1_d071_ACN_QEA,295.0,1.0
4247,y1_d082_YJD_RZQ,290.0,1.0
4251,y1_d086_CRQ_QEA,27.0,1.0
4264,y1_d095_WNA_RZQ,251.0,1.0
4267,y2_d004_GHD_YJD,124.0,1.0
4270,y2_d009_JMJ_YJD,30.0,1.0
4271,y2_d009_JMJ_YJD,54.0,1.0
4278,y2_d012_RQJ_YJD,201.0,1.0
4280,y2_d017_GIS_RZQ,171.0,1.0
4286,y1_d010_GEA_YJD,138.0,1.0
4290,y1_d024_AKX_YJD,29.0,1.0
4296,y1_d027_JIL_RZQ,403.0,1.0
4300,y1_d036_HMN_RZQ,277.0,1.0
4308,y1_d064_IAQ_YJD,6.0,1.0
4315,y1_d065_OWH_QEA,180.0,1.0
4317,y1_d066_IAQ_YJD,92.0,1.0
4348,y2_d013_RQJ_YJD,92.0,1.0
4370,y1_d001_CGA_QEA,278.0,1.0
4387,y1_d063_HCI_RZQ,50.0,1.0
4405,y2_d032_KNB_YJD,210.0,1.0
4409,y2_d035_KNB_YJD,175.0,1.0
4476,y1_d054_APZ_QEA,149.0,1.0
4520,y1_d009_GEA_YJD,211.0,1.0
4534,y1_d047_VHS_YJD,271.0,1.0
4567,y2_d046_IHI_YJD,20.0,1.0
4578,y2_d099_YJD_RZQ,17.0,1.0
4591,y1_d024_AKX_YJD,118.0,1.0
4592,y1_d024_AKX_YJD,130.0,1.0
4615,y1_d065_OWH_QEA,87.0,1.0
4621,y1_d075_UWE_YJD,26.0,1.0
4642,y2_d009_TSZ_RZQ,215.0,1.0
4647,y2_d028_YUH_RZQ,50.0,1.0
4659,y2_d044_RZQ_YJD,17.0,1.0
4667,y2_d077_MGJ_RZQ,134.0,1.0
4674,y1_d033_AVV_YJD,64.0,1.0
4684,y1_d065_UEX_RZQ,132.0,1.0
4685,y1_d065_UEX_RZQ,140.0,1.0
4701,y2_d034_KNB_YJD,262.0,1.0
4706,y2_d043_RZQ_YJD,247.0,1.0
4718,y2_d064_ESW_YJD,199.0,1.0
4719,y2_d064_ESW_YJD,208.0,1.0
4757,y2_d008_JMJ_YJD,135.0,1.0
4772,y2_d042_RZQ_YJD,113.0,1.0
4784,y2_d068_RDO_RZQ,264.0,1.0
4794,y2_d066_HKR_RZQ,220.0,1.0
4799,y2_d079_YJD_RZQ,62.0,1.0
4814,y1_d023_AKX_YJD,113.0,1.0
4817,y1_d043_WJU_QEA,280.0,1.0
4825,y1_d068_OWH_QEA,45.0,1.0
4829,y1_d071_ACN_QEA,225.0,1.0
4832,y1_d081_FBP_QEA,222.0,1.0
4833,y1_d081_FBP_QEA,229.0,1.0
4837,y1_d091_DYE_RZQ,79.0,1.0
4840,y1_d091_DYE_RZQ,270.0,1.0
4864,y1_d070_ACN_QEA,207.0,1.0
4871,y1_d094_WNA_RZQ,336.0,1.0
4877,y2_d011_RQJ_YJD,266.0,1.0
4892,y2_d072_XFE_RZQ,102.0,1.0
4932,y2_d028_VMN_YJD,267.0,1.0
4935,y2_d029_IKJ_RZQ,5.0,1.0
4978,y2_d024.5_ALA_YJD,79.0,1.0
4991,y2_d024_ALA_YJD,110.0,1.0
4992,y2_d024_ALA_YJD,145.0,1.0
5000,y2_d050_DYE_RZQ,92.0,1.0
5018,y2_d059_POW_YJD,245.0,1.0
5027,y2_d069_RDO_RZQ,56.0,1.0
5043,y2_d093_QZE_RZQ,151.0,1.0
5061,y1_d051_UPU_YJD,320.0,1.0
5077,y1_d086_DYE_YJD,31.0,1.0
5108,y1_d021_JFU_YJD,238.0,1.0
5109,y1_d029_CMS_YJD,194.0,1.0
5139,y1_d074_PHS_RZQ,136.0,1.0
5146,y1_d096_WNA_RZQ,143.0,1.0
5151,y2_d073_XFE_RZQ,47.0,1.0
5152,y2_d073_XFE_RZQ,168.0,1.0
5157,y1_d014_IXC_QEA,300.0,1.0
5160,y1_d019_JFU_YJD,141.0,1.0
5164,y1_d025_JIL_RZQ,116.0,1.0
5178,y1_d064_UEX_RZQ,249.0,1.0
5184,y1_d080_FBP_QEA,110.0,1.0
5188,y1_d085_YJD_RZQ,64.0,1.0
5192,y1_d086_CRQ_QEA,151.0,1.0
5199,y1_d094_XAX_QEA,105.0,1.0
5232,y1_d066_OWH_QEA,158.0,1.0
5244,y2_d072_DYE_YJD,62.0,2.0
5256,y1_d017_OXG_QEA,234.0,1.0
5266,y1_d055_APZ_QEA,269.0,1.0
5288,y2_d085_LFS_YJD,129.0,1.0
5300,y1_d030_CMS_YJD,332.0,1.0
5305,y1_d049_STK_QEA,287.0,1.0
5310,y1_d071_ACN_QEA,169.0,1.0
5332,y2_d006_DYE_RZQ,189.0,1.0
5334,y2_d008_TSZ_RZQ,234.0,1.0
5342,y2_d057.5_IAK_RZQ,209.0,1.0
5346,y2_d094_QZE_RZQ,334.0,1.0
5402,y1_d027_JIL_RZQ,176.0,1.0
5413,y1_d064_IAQ_YJD,176.0,1.0
5416,y1_d065_OWH_QEA,4.0,1.0
5423,y1_d077_GAX_YJD,71.0,1.0
5426,y1_d079_FBP_QEA,203.0,1.0
5436,y2_d007_DYE_RZQ,46.0,1.0
5466,y2_d064_HKR_RZQ,160.0,1.0
5467,y2_d064_HKR_RZQ,187.0,1.0
5514,y2_d063_KIR_RZQ,106.0,1.0
5521,y2_d095_QZE_RZQ,90.0,1.0
5533,y2_d007_NSO_YJD,84.0,1.0
5540,y2_d013_RQJ_YJD,27.0,1.0
5561,y2_d046.5_IHI_YJD,60.0,1.0
5567,y1_d041_TKJ_YJD,260.0,1.0
5572,y1_d054_APZ_QEA,55.0,1.0
5586,y2_d014_TEQ_YJD,70.0,1.0
5589,y2_d015_TEQ_YJD,56.0,1.0
5593,y2_d034_KNB_YJD,36.0,1.0
5619,y1_d029_CMS_YJD,216.0,1.0
5656,y2_d006_DYE_RZQ,229.0,1.0
5660,y2_d023_DMS_RZQ,113.0,1.0
5670,y2_d052_PTB_YJD,222.0,1.0
5677,y2_d094_QZE_RZQ,168.0,1.0
5681,y1_d005_JJS_YJD,152.0,1.0
5736,y1_d081_PVJ_RZQ,345.0,1.0
5738,y1_d096_XAX_QEA,13.0,1.0
5772,y2_d077_MGJ_RZQ,52.0,1.0
5773,y2_d077_MGJ_RZQ,100.0,1.0
5780,y1_d020_JFU_YJD,229.0,1.0
5800,y2_d014_TEQ_YJD,78.0,1.0
5831,y2_d080_YJD_RZQ,121.0,1.0
5832,y2_d080_YJD_RZQ,178.0,1.0
5847,y2_d013_BVD_RZQ,151.0,1.0
5858,y2_d039_XLB_RZQ,185.0,1.0
5863,y2_d056_IAK_RZQ,150.0,1.0
5883,y2_d047_IHI_YJD,76.0,1.0
5891,y2_d071_DYE_YJD,129.0,1.0
5892,y2_d071_DYE_YJD,207.0,1.0
5896,y2_d073_DYE_YJD,205.0,1.0
5911,y1_d043_WJU_QEA,35.0,1.0
5915,y1_d048_STK_QEA,120.0,1.0
5921,y1_d068_OWH_QEA,117.0,1.0
5932,y1_d003_CGA_QEA,231.0,1.0
5948,y1_d048_MHY_RZQ,44.0,1.0
5955,y1_d056_OXG_QEA,28.0,1.0
5961,y1_d057_OXG_QEA,210.0,1.0
5962,y1_d057_OXG_QEA,292.0,1.0
5963,y1_d057_OXG_QEA,297.0,1.0
5968,y1_d076_GAX_YJD,25.0,1.0
5980,y1_d096_KQQ_YJD,109.0,1.0
5989,y2_d025_ALA_YJD,187.0,3.0
5993,y2_d036_UKI_RZQ,38.0,1.0
6001,y2_d060_POW_YJD,143.0,1.0
6005,y2_d065_HKR_RZQ,103.0,1.0
6011,y2_d083_WMI_YJD,228.0,1.0
6012,y2_d083_WMI_YJD,297.0,1.0
6015,y2_d090_NYA_YJD,226.0,1.0
6040,y1_d051_JZK_RZQ,273.0,1.0
6044,y1_d058_OXG_QEA,86.0,1.0
6057,y2_d026_VMN_YJD,127.0,1.0
6065,y2_d029_IKJ_RZQ,43.0,1.0
6069,y2_d029_IKJ_RZQ,232.0,1.0
6071,y2_d031_IKJ_RZQ,216.0,1.0
6087,y2_d074.5_VZE_YJD,252.0,1.0
6095,y1_d074_UWE_YJD,56.0,1.0
6099,y1_d088_CRQ_QEA,233.0,1.0
6146,y2_d055_IAK_RZQ,287.0,1.0
6152,y2_d063_KIR_RZQ,198.0,1.0
6168,y2_d067_HKR_RZQ,169.0,1.0
6194,y1_d016_OXG_QEA,27.0,1.0
6200,y1_d048_MHY_RZQ,109.0,1.0
6214,y1_d056_WZR_YJD,84.0,1.0
6218,y1_d057_OXG_QEA,148.0,1.0
6238,y1_d086_DYE_YJD,75.0,1.0
6240,y1_d086_DYE_YJD,176.0,1.0
6249,y2_d002_BEJ_RZQ,215.0,1.0
6274,y1_d021_JFU_YJD,85.0,1.0
6279,y1_d040_TKJ_YJD,31.0,1.0
6293,y1_d049_UPU_YJD,322.0,1.0
6321,y1_d050_UPU_YJD,47.0,1.0
6328,y1_d058_KJH_RZQ,168.0,1.0
6330,y1_d058_WZR_YJD,63.0,1.0
6352,y1_d086_CRQ_QEA,146.0,1.0
6354,y1_d086_CRQ_QEA,225.0,1.0
